mod_1,mod_2,FNF,TNF,GF,GS,thermal,epithermal,fast,current,fast_neutron_dose,photon_dose
25.07,10.91,9.29,0.07,5.15,8.84,13650000,232770000,551010000,139350000,0.0018238,0.00023208
39.02,19.74,19.12,0.66,3.78,0.89,4350100,64099000,47837000,35750000,0.0001675,5.25E-05
27.92,6.73,0.6,0.44,2.19,2.95,21003000,187430000,1726500000,103630000,0.0094847,0.00069037
17.21,12.67,15.11,0.78,8.32,7.49,9678400,164990000,295780000,97600000,0.00097448,0.00014171
17.03,8.18,1.17,0.28,7.49,10,24080000,203880000,1589800000,116410000,0.0081145,0.00047561
28.1,14.91,14.78,0.93,3.62,0.44,11397000,117120000,169390000,64152000,0.00071872,0.00013105
39.18,9.63,8.11,0.16,0.47,3.4,6725200,217810000,484750000,125090000,0.0015564,0.00029333
24.91,17.21,20.15,0.56,9.09,6.34,4455200,91109000,90930000,53829000,0.00026184,6.33E-05
23.83,11.38,17.04,0.65,8.09,8.23,7407400,136600000,191380000,81456000,0.00056367,0.00010148
34.6,19.27,4.97,0.06,1.73,1.51,12609000,206760000,554590000,117180000,0.0018516,0.00029225
33.07,6.26,24.16,0.77,4.82,4.83,3712000,77356000,64400000,44707000,0.00019559,5.60E-05
19.29,13.13,10.54,0.43,5.96,5.6,14297000,215030000,533680000,125250000,0.0019546,0.0002344
20.51,10,22.77,0.11,2.91,7.19,5792800,155110000,140940000,93246000,0.00042062,0.0001081
31.65,16.84,11.49,0.69,6.62,3.01,9189900,129950000,223010000,74706000,0.00072042,0.00012187
36.41,7.58,17.21,0.48,9.93,0.68,11712000,97783000,105270000,55037000,0.00039199,8.18E-05
22.21,15.5,4.36,0.82,1.15,8.98,17956000,190710000,902260000,109830000,0.0036569,0.00038824
26.62,5.93,7.5,0.98,2.31,5.84,12937000,192040000,786090000,110130000,0.0034548,0.00034551
37.28,13.47,20.32,0.33,8.51,3.82,4337300,79803000,64569000,46306000,0.00017833,5.10E-05
29.62,11.95,2.13,0.61,5.58,2.37,20678000,170230000,897990000,96483000,0.0039352,0.00033268
15.71,18.7,13.39,0.21,4.29,7.84,10714000,206360000,374750000,124650000,0.0011922,0.00019121
15.92,12.31,12.23,0.81,9,4.14,14304000,184140000,448530000,106450000,0.0016484,0.00019474
30.2,18.34,22.03,0.4,0.22,6.14,2373800,87922000,67635000,51632000,0.00019298,7.32E-05
37.87,5.32,3.55,0.68,3.21,7.54,13023000,178290000,735370000,102290000,0.0027863,0.0002806
26.8,14.07,18.03,0.03,6.93,2.05,9244100,144790000,147400000,83712000,0.00047984,0.00010278
22.02,7.24,21.17,0.19,5.9,2.69,9308800,160380000,166460000,93305000,0.00054952,0.0001203
35.8,15.84,6.65,0.54,4.61,6.89,10835000,161240000,382700000,95290000,0.0011492,0.00017299
31.09,10.57,12.67,0.32,1.37,9.28,8649400,191700000,323050000,115130000,0.00096483,0.00018505
20.31,16.27,2.85,0.91,7.56,1,32205000,164520000,866410000,91234000,0.0043038,0.00032763
18.7,6.87,15.62,0.58,0.78,1.81,7908700,227880000,460100000,130400000,0.0019944,0.00037666
32.89,12.53,0.34,0.24,9.4,8.55,15361000,159360000,694860000,95286000,0.0025264,0.00022155
34.39,11.01,19.43,0.95,6.56,5.28,4391900,85929000,91274000,50117000,0.00026618,6.18E-05
23.24,19.64,8.82,0.37,2.69,4.53,10718000,198560000,482320000,115350000,0.0016698,0.00023963
25.47,9.06,5.72,0.45,3.87,0.14,39182000,220090000,845330000,117860000,0.0044705,0.00041475
39.38,17.78,16.29,0.85,5.01,9.67,3797800,87567000,85335000,51490000,0.00020906,5.84E-05
28.29,8.52,9.71,0.08,8.41,6.66,13407000,200580000,458120000,120380000,0.0014796,0.00020201
17.63,14.57,24.99,0.73,2.05,3.7,3309600,89786000,80842000,51208000,0.00027869,7.92E-05
18.11,9.28,17.89,0.88,6.14,4.64,9500300,162780000,250490000,93372000,0.00088176,0.00013823
28.79,17.64,4.27,0.29,5,5.09,14785000,187970000,635830000,109020000,0.0022033,0.00024837
39.66,7.91,23.26,0.51,1.6,8.74,2610700,77702000,57295000,46266000,0.00015518,5.41E-05
25.78,15.25,11.19,0.17,7.96,1.71,15948000,174680000,319680000,100450000,0.0011281,0.00016731
22.94,6.08,1.83,0.02,9.23,3.59,29129000,200390000,1394500000,114940000,0.0070961,0.00045191
34.11,13.27,13.87,0.67,0.61,6.84,5178900,145210000,213830000,84559000,0.00064207,0.00014981
32.39,11.28,7.4,0.39,3.45,9.49,11559000,187690000,496420000,112110000,0.0015593,0.00020744
18.22,19.32,21.01,0.8,7.32,0.25,10439000,81117000,82987000,44518000,0.00033596,6.96E-05
20.03,7.57,8.39,0.75,4.11,1.94,22349000,221820000,887550000,125550000,0.0042786,0.00040184
30.78,15.59,19.66,0.1,5.4,7.73,5504800,112410000,97795000,68467000,0.0002595,7.23E-05
35.33,9.84,1.28,0.87,8.64,5.95,14002000,147960000,652200000,85119000,0.0024765,0.00023164
21.52,17.07,14.09,0.47,2.45,4.24,8395900,177740000,297420000,103510000,0.001029,0.00018257
27.29,11.65,23.49,0.37,1.01,1.11,3044200,97328000,72804000,54863000,0.00027466,9.90E-05
38.34,18.96,10.63,0.96,9.79,9.1,5469900,102010000,143670000,61046000,0.0003558,7.67E-05
30.5,5.48,16.54,0.25,6.8,7.08,8574300,164560000,222690000,98739000,0.00067642,0.0001243
16.2,13.87,5.27,0.59,3.08,2.58,21214000,222810000,1218800000,122610000,0.0061147,0.00050359
15.23,5.14,18.94,0.42,7.7,8.78,10490000,205090000,293980000,123400000,0.00092633,0.00015436
29.11,14.21,9.12,0.76,1.5,0.81,10896000,161820000,396040000,90179000,0.001713,0.00026943
36.99,12.22,14.94,0.05,4.43,2.88,8146700,159920000,174150000,93764000,0.00053738,0.00012102
26.31,18.38,0.43,0.64,5.72,7.4,15927000,163440000,850160000,95780000,0.0033698,0.00028759
22.52,10.21,9.82,0.54,7.1,8.05,13459000,195320000,519450000,117560000,0.0017713,0.00020955
36.69,16.7,24.29,0.13,3.39,2.24,2809100,66582000,36715000,38316000,0.00010399,4.45E-05
32.16,6.98,6,0.91,0.08,3.94,7151200,171420000,773290000,96861000,0.0033782,0.00049064
20.99,16.18,15.81,0.26,8.86,5.63,8592500,152020000,208090000,88754000,0.00064896,0.0001165
19.57,10.71,3.44,0.21,1.92,6.54,20317000,240410000,1566500000,138990000,0.0075843,0.00063053
33.37,19.9,18.71,0.62,8.28,3.27,4286300,73335000,67405000,42078000,0.00019967,5.31E-05
35.08,6.41,11.94,0.34,5.19,0.57,18965000,176770000,297690000,99498000,0.0011709,0.00018523
24.32,12.94,22.52,0.98,4.05,9.8,3686100,88911000,88810000,52620000,0.00024936,6.45E-05
24.41,8.51,13.16,0.84,2.52,5.4,9887500,188620000,410130000,109910000,0.0015086,0.00022159
38.7,14.65,2.55,0.5,6.39,4.96,13164000,155640000,525590000,90282000,0.0017084,0.0002121
27.8,8.91,21.84,0.72,9.54,1.38,7110300,82173000,81305000,45736000,0.00028061,6.45E-05
16.75,18.01,6.56,0.13,0.92,8.44,15430000,252360000,947470000,150180000,0.0036434,0.00042746
16.6,5.71,12.57,0.63,9.14,2.6,21030000,216860000,576280000,124440000,0.002323,0.0002496
27.75,13.64,2.74,0.04,0.43,7.13,15459000,237260000,1160700000,137260000,0.0047104,0.00051201
38.75,11.88,21.26,0.75,3.67,9.2,3308700,74931000,67025000,44558000,0.0001653,4.96E-05
24.55,18.72,6.76,0.41,7.45,1.25,20643000,167900000,464460000,95801000,0.0018101,0.00021659
24.28,10.08,3.64,0.27,5.99,4.35,21172000,206480000,1070900000,118800000,0.0047095,0.00037656
34.93,16.83,18.13,0.92,4.79,6.09,3794500,83900000,86279000,48900000,0.00025147,6.14E-05
33.52,7.81,12.14,0.14,1.77,7.74,9563900,214340000,368160000,129360000,0.0010955,0.00020375
19.62,15.35,21.93,0.54,8.06,2,6682300,94897000,97940000,54071000,0.00032628,7.25E-05
20.93,11.52,9.62,0.99,1.1,0.23,15987000,181490000,571500000,98387000,0.0031656,0.00045495
32,19.09,24.88,0.34,9.97,9.43,2184400,50603000,31034000,30640000,7.56E-05,2.81E-05
