Model, LR, Rank, Max_Iter, Avg_R2
model_1, 0.001, 5, 200, 0.5343
model_1, 0.001, 5, 300, 0.6299
model_1, 0.001, 5, 400, 0.6949
model_1, 0.001, 5, 500, 0.7550
model_1, 0.001, 6, 200, 0.5421
model_1, 0.001, 6, 300, 0.6494
model_1, 0.001, 6, 400, 0.6935
model_1, 0.001, 6, 500, 0.7637
model_2, 0.001, 2, 200, 0.5316
model_2, 0.001, 2, 300, 0.5856
model_2, 0.001, 2, 400, 0.6454
model_2, 0.001, 2, 500, 0.7034
model_2, 0.001, 3, 200, 0.5772
model_2, 0.001, 3, 300, 0.6218
model_2, 0.001, 3, 400, 0.6749
model_2, 0.001, 3, 500, 0.7239
model_2, 0.001, 4, 200, 0.5919
model_2, 0.001, 4, 300, 0.6451
model_2, 0.001, 4, 400, 0.6914
model_2, 0.001, 4, 500, 0.7287
model_2, 0.001, 5, 200, 0.5951
model_2, 0.001, 5, 300, 0.6591
model_2, 0.001, 5, 400, 0.7011
model_2, 0.001, 5, 500, 0.7297
model_2, 0.001, 6, 200, 0.6050
model_2, 0.001, 6, 300, 0.6698
model_2, 0.001, 6, 400, 0.7223
model_2, 0.001, 6, 500, 0.7489
model_3, 0.001, 2, 200, 0.5260
model_3, 0.001, 2, 300, 0.5673
model_3, 0.001, 2, 400, 0.6642
model_3, 0.001, 2, 500, 0.7052
model_3, 0.001, 3, 200, 0.5237
model_3, 0.001, 3, 300, 0.6052
model_3, 0.001, 3, 400, 0.6629
model_3, 0.001, 3, 500, 0.7194
model_3, 0.001, 4, 200, 0.5731
model_3, 0.001, 4, 300, 0.6288
model_3, 0.001, 4, 400, 0.6933
model_3, 0.001, 4, 500, 0.7363
model_3, 0.001, 5, 200, 0.5561
model_3, 0.001, 5, 300, 0.6423
model_3, 0.001, 5, 400, 0.7008
model_3, 0.001, 5, 500, 0.7301
model_3, 0.001, 6, 200, 0.5860
model_3, 0.001, 6, 300, 0.6583
model_3, 0.001, 6, 400, 0.7147
model_3, 0.001, 6, 500, 0.7497
